PAID;FECHA_REGISTRO;UNIDAD_NOMBRE;PROYECTO_RNPC;UNIDAD_DEPARTAMENTO;DESTINO_DEPARTAMENTO;DESTINO_CIUDAD;ATENCION_TIPO_TRAMITE;ATENCION_DESTINO;ATENCION_TEMA;ATENCION_MOTIVO;ATENCION_ESTADO;PERSONA_RANGO_EDAD;PERSONA_CONDICION_DISCAPACIDAD;PERSONA_POBLACION_ESPECIAL;PERSONA_GENERO;PERSONA_PROFESION;PERSONA_ACEPTA_HABEAS_DATA;TIPO_EMPRESA;EMPRESA_TIPO_DOCUMENTO;EMPRESA_TIPO_DOCUMENTO;EMPRESA_RAZON_SOCIAL;ESTADO_SERVICIO;CAUSAL;TIPO_PRODUCTO;NOMBRE_PRODUCTO;VALOR_PRODUCTO;FECHA_ADQUISICION;FECHA_ULTIMO_ENCUENTRO;FECHA_FIN_ULTIMO_ENCUENTRO;FECHA_FIN_REAL;ENCUENTRO_ACORDADO;FECHA_CONTRATO;DURACION
615062;2022-01-21;CB SAN CRISTOBAL;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SAN CRISTOBAL;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Técnico;SI;INFORMAL;;#¡REF!;ARTEMUEBLES;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;FABRICACION SOPORTE CAMA;220000;2021-03-30 00:00;2022-01-31;2022-02-01;2022-02-01;SI;2022-02-01 14:35;11
365005;2021-03-05;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Abandono de bienes;Ciudadano Atendido;41-59 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;LAVINS MOBILIARIO;CERRADO;Incumplimiento contractual;Bien;cama de 1.40x190 tapizada;180000;2020-12-03 00:00;2021-03-10;2021-03-10;2021-03-10;SI;2021-03-10 11:05;5
317494;2020-10-28;CB FONTIBON;Casas del Consumidor Bogota;BOGOTA;BOGOTA;FONTIBON;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Ninguno                                  ;SI;INFORMAL;;#¡REF!;cell productions;CERRADO;Información o publicidad engañosa;Bien;celular;100000;2020-10-02 00:00;2020-10-28;2021-02-25;2021-02-25;SI;2021-02-25 13:25;120
325526;2020-11-11;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Información o publicidad engañosa;Incumplimiento en la entrega de la información mínima del bien o servicio;Ciudadano Atendido;41-59 años;Ninguna ;No indica;Mujer;Bachiller              ;SI;FORMAL;NIT;#¡REF!;AUTOS DEL CASTILLO BOGOTA;CERRADO;Información o publicidad engañosa;Bien;Vehiculo;22500000;2019-11-29 00:00;2020-11-26;2020-11-26;2020-11-26;SI;2020-11-26 11:32;15
458104;2021-07-14;CB SUBA;Casas del Consumidor Bogota;BOGOTA;BOGOTA;SUBA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;60-80 años;Ninguna ;Ninguna;Hombre;Profesional;SI;INFORMAL;;#¡REF!;centro de servicios digital center;CERRADO;Incumplimiento de la garantía;Servicio;televisor 60 pulgadas marca LG;2600000;2018-05-16 00:00;2021-08-05;2021-08-05;2021-08-05;SI;2021-08-05 12:39;22
355852;2021-02-17;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Protección Contractual;Incumplimiento Contractual;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;MAJAI CASA DE MODAS;CERRADO;Incumplimiento contractual;Bien;alquiler de vestido negro para celebracion de 15 años ;300000;2020-01-23 00:00;2021-03-03;2021-07-13;2021-07-13;SI;2021-07-13 10:11;146
434675;2021-06-15;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;19-25 años;Ninguna ;Ninguna;Mujer;Tecnólogo;SI;INFORMAL;;#¡REF!;DIANA CAROLINA GIL FIGUEROA;CERRADO;Incumplimiento de la garantía;Servicio;curso de semipermanente ;1400000;2021-01-13 00:00;2021-06-29;2021-07-13;2021-07-13;SI;2021-07-13 09:57;28
597118;2021-11-25;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Bachiller              ;SI;INFORMAL;;#¡REF!;LILIANA INES LOZANO OROZCO;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Servicio;SERVICIO DE REPARACION DE MOTOCICLETA TVS SPORT;INDETERMINADO;2021-10-09 00:00;2021-12-02;2021-12-02;2021-12-02;SI;2021-12-02 11:58;7
497924;2021-08-23;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Prestación de servicios que suponen la entrega de un bien;Calidad del servicio;Ciudadano Atendido;26-40 años;Ninguna ;Ninguna;Mujer;Básica Primaria;SI;INFORMAL;;#¡REF!;VALENTINA CASTAÑO BUITRAGO;CERRADO;Servicios que suponen la entrega de un bien a un tercero;Bien;fabricacion de un armario ;450000;2021-02-26 00:00;2021-08-30;2021-08-30;2021-08-30;SI;2021-08-30 14:58;7
452329;2021-07-07;CR PEREIRA;Casas del Consumidor Regional;RISARALDA;RISARALDA;PEREIRA;ARREGLO DIRECTO;SIC;Garantías ;Incumplimiento de los términos de garantía;Ciudadano Atendido;41-59 años;Ninguna ;No indica;Hombre;Bachiller              ;SI;FORMAL;NIT;#¡REF!;MATERIALES EL SILENCIO SAS;CERRADO;Incumplimiento de la garantía;Bien;MEDIDOR Y/O CONTADOR DE AGUA ;158500;2018-07-10 00:00;2021-07-22;2021-07-23;2021-07-23;SI;2021-07-23 14:07;16
